Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1134003350.0837522,4.6604086030500026e-07,2.578968574053492
1135814206.165965,4.6553399113290914e-07,2.579005953330349
1137625062.2481778,4.650271219608181e-07,2.579043332607206
1139435918.3303907,4.6452025278872695e-07,2.579080711884063
1141246774.4126036,4.6401338361663583e-07,2.5791180911609204
1143057630.4948163,4.635065144445448e-07,2.5791554704377777
1144868486.5770292,4.629996452724537e-07,2.5791928497146346
1146679342.6592422,4.6249277610036257e-07,2.579230228991492
1148490198.741455,4.6198590692827145e-07,2.5792676082683488
1150301054.823668,4.6147903775618033e-07,2.579304987545206
1152111910.9058807,4.6097216858408926e-07,2.5793423668220634
1153922766.9880936,4.6046529941199814e-07,2.5793797460989203
1155733623.0703065,4.59958430239907e-07,2.5794171253757776
1157544479.1525195,4.5945156106781595e-07,2.5794545046526345
1159355335.2347322,4.589446918957249e-07,2.579491883929492
1161166191.316945,4.5843782272363375e-07,2.579529263206349
1162977047.399158,4.5793095355154263e-07,2.579566642483206
1164787903.481371,4.574240843794515e-07,2.5796040217600633
1166598759.5635836,4.5691721520736044e-07,2.57964140103692
1168409615.6457965,4.564103460352693e-07,2.5796787803137775
1170220471.7280095,4.5590347686317825e-07,2.579716159590635
1172031327.8102224,4.5539660769108713e-07,2.5797535388674917
1173842183.892435,4.5488973851899606e-07,2.579790918144349
1175653039.974648,4.5438286934690494e-07,2.579828297421206
1177463896.056861,4.538760001748138e-07,2.579865676698063
1179274752.1390738,4.533691310027227e-07,2.57990305597492
1181085608.2212865,4.528622618306317e-07,2.5799404352517774
1182896464.3034995,4.5235539265854056e-07,2.5799778145286347
1184707320.3857124,4.5184852348644944e-07,2.5800151938054916
1186518176.4679253,4.513416543143583e-07,2.580052573082349
1188329032.550138,4.5083478514226724e-07,2.580089952359206
1190139888.632351,4.503279159701761e-07,2.580127331636063
1191950744.7145638,4.49821046798085e-07,2.5801647109129204
1193761600.7967768,4.4931417762599393e-07,2.5802020901897773
1195572456.8789895,4.4880730845390286e-07,2.5802394694666346
1197383312.9612024,4.4830043928181174e-07,2.5802768487434915
1199194169.0434153,4.477935701097206e-07,2.580314228020349
1201005025.1256282,4.472867009376295e-07,2.580351607297206
1202815881.207841,4.4677983176553843e-07,2.580388986574063
1204626737.2900538,4.462729625934473e-07,2.5804263658509203
1206437593.3722668,4.457660934213562e-07,2.580463745127777
1208248449.4544797,4.452592242492651e-07,2.5805011244046345
1210059305.5366926,4.44752355077174e-07,2.5805385036814914
1211870161.6189053,4.442454859050829e-07,2.5805758829583487
1213681017.7011182,4.437386167329918e-07,2.580613262235206
1215491873.7833312,4.432317475609007e-07,2.580650641512063
1217302729.8655438,4.4272487838880967e-07,2.5806880207889202
1219113585.9477568,4.4221800921671854e-07,2.580725400065777
1220924442.0299697,4.417111400446274e-07,2.5807627793426344
1222735298.1121826,4.412042708725363e-07,2.5808001586194917
1224546154.1943955,4.406974017004452e-07,2.5808375378963486
1226357010.2766082,4.401905325283541e-07,2.580874917173206
1228167866.3588212,4.39683663356263e-07,2.580912296450063
1229978722.441034,4.3917679418417187e-07,2.58094967572692
1231789578.5232468,4.3866992501208085e-07,2.5809870550037775
1233600434.6054597,4.3816305583998973e-07,2.5810244342806343
1235411290.6876726,4.376561866678986e-07,2.5810618135574916
1237222146.7698855,4.371493174958075e-07,2.5810991928343485
1239033002.8520985,4.3664244832371636e-07,2.581136572111206
1240843858.9343112,4.361355791516253e-07,2.5811739513880627
1242654715.016524,4.3562870997953417e-07,2.58121133066492
1244465571.098737,4.3512184080744305e-07,2.5812487099417774
1246276427.1809497,4.3461497163535203e-07,2.5812860892186342
1248087283.2631626,4.341081024632609e-07,2.5813234684954915
1249898139.3453755,4.336012332911698e-07,2.5813608477723484
1251708995.4275885,4.3309436411907867e-07,2.5813982270492057
1253519851.5098014,4.3258749494698755e-07,2.581435606326063
1255330707.592014,4.3208062577489653e-07,2.58147298560292
1257141563.674227,4.315737566028054e-07,2.5815103648797773
1258952419.75644,4.310668874307143e-07,2.581547744156634
1260763275.8386526,4.305600182586232e-07,2.5815851234334914
1262574131.9208655,4.300531490865321e-07,2.5816225027103488
1264384988.0030785,4.29546279914441e-07,2.5816598819872056
1266195844.0852914,4.2903941074234985e-07,2.581697261264063
1268006700.1675043,4.285325415702588e-07,2.58173464054092
1269817556.249717,4.280256723981677e-07,2.581772019817777
1271628412.33193,4.275188032260766e-07,2.581809399094634
1273439268.4141428,4.2701193405398547e-07,2.5818467783714913
1275250124.4963555,4.265050648818944e-07,2.5818841576483487
1277060980.5785685,4.259981957098033e-07,2.5819215369252055
1278871836.6607814,4.2549132653771216e-07,2.581958916202063
1280682692.7429943,4.2498445736562104e-07,2.5819962954789197
1282493548.8252072,4.244775881935299e-07,2.582033674755777
1284304404.90742,4.239707190214389e-07,2.5820710540326344
1286115260.9896328,4.234638498493478e-07,2.5821084333094912
1287926117.0718458,4.2295698067725665e-07,2.5821458125863486
1289736973.1540585,4.2245011150516564e-07,2.5821831918632054
1291547829.2362714,4.219432423330745e-07,2.5822205711400628
1293358685.3184843,4.214363731609834e-07,2.58225795041692
1295169541.4006972,4.2092950398889227e-07,2.582295329693777
1296980397.4829102,4.2042263481680115e-07,2.5823327089706343
1298791253.565123,4.1991576564471003e-07,2.582370088247491
1300602109.6473358,4.1940889647261896e-07,2.5824074675243485
1302412965.7295487,4.1890202730052784e-07,2.5824448468012053
1304223821.8117616,4.183951581284367e-07,2.5824822260780627
1306034677.8939743,4.178882889563457e-07,2.58251960535492
1307845533.9761872,4.173814197842546e-07,2.582556984631777
1309656390.0584002,4.1687455061216346e-07,2.582594363908634
1311467246.140613,4.1636768144007234e-07,2.582631743185491
1313278102.222826,4.158608122679812e-07,2.5826691224623484
1315088958.3050387,4.1535394309589014e-07,2.5827065017392057
1316899814.3872516,4.14847073923799e-07,2.5827438810160626
1318710670.4694645,4.143402047517079e-07,2.58278126029292
1320521526.5516772,4.138333355796169e-07,2.5828186395697768
1322332382.6338902,4.1332646640752576e-07,2.582856018846634
1324143238.716103,4.1281959723543464e-07,2.5828933981234914
1325954094.798316,4.123127280633435e-07,2.5829307774003483
1327764950.880529,4.118058588912524e-07,2.5829681566772056
1329575806.9627416,4.112989897191614e-07,2.5830055359540625
1331386663.0449545,4.1079212054707026e-07,2.58304291523092
1333197519.1271675,4.1028525137497914e-07,2.583080294507777
1335008375.2093801,4.0977838220288807e-07,2.583117673784634
1336819231.291593,4.0927151303079695e-07,2.5831550530614913
1338630087.373806,4.087646438587058e-07,2.583192432338348
1340440943.456019,4.082577746866147e-07,2.5832298116152055
1342251799.5382318,4.077509055145236e-07,2.5832671908920624
1344062655.6204445,4.0724403634243257e-07,2.5833045701689197
1345873511.7026575,4.0673716717034144e-07,2.583341949445777
1347684367.7848704,4.062302979982503e-07,2.583379328722634
1349495223.867083,4.0572342882615925e-07,2.583416707999491
1351306079.949296,4.0521655965406813e-07,2.583454087276348
1353116936.031509,4.04709690481977e-07,2.5834914665532054
1354927792.1137218,4.042028213098859e-07,2.5835288458300627
1356738648.1959348,4.0369595213779477e-07,2.5835662251069196
1358549504.2781475,4.0318908296570375e-07,2.583603604383777
1360360360.3603604,4.0268221379361263e-07,2.5836409836606338
1362171216.4425733,4.021753446215215e-07,2.583678362937491
1363982072.524786,4.016684754494305e-07,2.5837157422143484
1365792928.606999,4.0116160627733937e-07,2.5837531214912053
1367603784.6892118,4.0065473710524825e-07,2.5837905007680626
1369414640.7714248,4.001478679331571e-07,2.5838278800449195
1371225496.8536377,3.99640998761066e-07,2.583865259321777
1373036352.9358504,3.9913412958897493e-07,2.5839026385986337
1374847209.0180633,3.986272604168838e-07,2.583940017875491
1376658065.1002762,3.981203912447927e-07,2.5839773971523483
1378468921.182489,3.976135220727016e-07,2.584014776429205
1380279777.2647018,3.9710665290061055e-07,2.5840521557060625
1382090633.3469148,3.9659978372851943e-07,2.5840895349829194
1383901489.4291277,3.960929145564283e-07,2.5841269142597767
1385712345.5113406,3.955860453843372e-07,2.584164293536634
1387523201.5935533,3.950791762122461e-07,2.584201672813491
1389334057.6757662,3.94572307040155e-07,2.584239052090348
1391144913.7579792,3.940654378680639e-07,2.584276431367205
1392955769.8401918,3.9355856869597286e-07,2.5843138106440624
1394766625.9224048,3.9305169952388174e-07,2.5843511899209197
1396577482.0046177,3.925448303517906e-07,2.5843885691977766
1398388338.0868306,3.920379611796995e-07,2.584425948474634
1400199194.1690435,3.9153109200760837e-07,2.584463327751491
1402010050.2512562,3.9102422283551735e-07,2.584500707028348
1403820906.3334692,3.9051735366342623e-07,2.584538086305205
1405631762.415682,3.900104844913351e-07,2.5845754655820623
1407442618.497895,3.89503615319244e-07,2.5846128448589196
1409253474.5801077,3.889967461471529e-07,2.5846502241357765
1411064330.6623206,3.884898769750618e-07,2.584687603412634
1412875186.7445335,3.879830078029707e-07,2.5847249826894907
