Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1278871837,2.20E-07,3.042357179
1280682693,2.20E-07,3.042413694
1282493549,2.20E-07,3.042470209
1284304405,2.20E-07,3.042526724
1286115261,2.19E-07,3.042583239
1287926117,2.19E-07,3.042639754
1289736973,2.19E-07,3.042696269
1291547829,2.18E-07,3.042752785
1293358685,2.18E-07,3.0428093
1295169541,2.18E-07,3.042865815
1296980397,2.18E-07,3.04292233
1298791254,2.17E-07,3.042978845
1300602110,2.17E-07,3.04303536
1302412966,2.17E-07,3.043091875
1304223822,2.17E-07,3.04314839
1306034678,2.16E-07,3.043204905
1307845534,2.16E-07,3.043261421
1309656390,2.16E-07,3.043317936
1311467246,2.16E-07,3.043374451
1313278102,2.15E-07,3.043430966
1315088958,2.15E-07,3.043487481
1316899814,2.15E-07,3.043543996
1318710670,2.15E-07,3.043600511
1320521527,2.14E-07,3.043657026
1322332383,2.14E-07,3.043713541
1324143239,2.14E-07,3.043770057
1325954095,2.13E-07,3.043826572
1327764951,2.13E-07,3.043883087
1329575807,2.13E-07,3.043939602
1331386663,2.13E-07,3.043996117
1333197519,2.12E-07,3.044052632
1335008375,2.12E-07,3.044109147
1336819231,2.12E-07,3.044165662
1338630087,2.12E-07,3.044222177
1340440943,2.11E-07,3.044278693
1342251800,2.11E-07,3.044335208
1344062656,2.11E-07,3.044391723
1345873512,2.11E-07,3.044448238
1347684368,2.10E-07,3.044504753
1349495224,2.10E-07,3.044561268
1351306080,2.10E-07,3.044617783
1353116936,2.10E-07,3.044674298
1354927792,2.09E-07,3.044730813
1356738648,2.09E-07,3.044787329
1358549504,2.09E-07,3.044843844
1360360360,2.09E-07,3.044900359
1362171216,2.08E-07,3.044956874
1363982073,2.08E-07,3.045013389
1365792929,2.08E-07,3.045069904
1367603785,2.07E-07,3.045126419
1369414641,2.07E-07,3.045182934
1371225497,2.07E-07,3.045239449
1373036353,2.07E-07,3.045295965
1374847209,2.06E-07,3.04535248
1376658065,2.06E-07,3.045408995
1378468921,2.06E-07,3.04546551
1380279777,2.06E-07,3.045522025
1382090633,2.05E-07,3.04557854
1383901489,2.05E-07,3.045635055
1385712346,2.05E-07,3.04569157
1387523202,2.05E-07,3.045748085
1389334058,2.04E-07,3.045804601
1391144914,2.04E-07,3.045861116
1392955770,2.04E-07,3.045917631
1394766626,2.04E-07,3.045974146
1396577482,2.03E-07,3.046030661
1398388338,2.03E-07,3.046087176
1400199194,2.03E-07,3.046143691
1402010050,2.02E-07,3.046200206
1403820906,2.02E-07,3.046256721
1405631762,2.02E-07,3.046313237
1407442618,2.02E-07,3.046369752
1409253475,2.01E-07,3.046426267
1411064331,2.01E-07,3.046482782
1412875187,2.01E-07,3.046539297
1414686043,2.01E-07,3.046595812
1416496899,2.00E-07,3.046652327
1418307755,2.00E-07,3.046708842
1420118611,2.00E-07,3.046765357
1421929467,2.00E-07,3.046821873
1423740323,1.99E-07,3.046878388
1425551179,1.99E-07,3.046934903
1427362035,1.99E-07,3.046991418
1429172891,1.99E-07,3.047047933
1430983748,1.98E-07,3.047104448
1432794604,1.98E-07,3.047160963
1434605460,1.98E-07,3.047217478
1436416316,1.97E-07,3.047273993
1438227172,1.97E-07,3.047330509
1440038028,1.97E-07,3.047387024
1441848884,1.97E-07,3.047443539
1443659740,1.96E-07,3.047500054
1445470596,1.96E-07,3.047556569
1447281452,1.96E-07,3.047613084
1449092308,1.96E-07,3.047669599
1450903164,1.95E-07,3.047726114
1452714021,1.95E-07,3.047782629
1454524877,1.95E-07,3.047839145
1456335733,1.95E-07,3.04789566
1458146589,1.94E-07,3.047952175
1459957445,1.94E-07,3.04800869
1461768301,1.94E-07,3.048065205
1463579157,1.94E-07,3.04812172
1465390013,1.93E-07,3.048178235
1467200869,1.93E-07,3.04823475
1469011725,1.93E-07,3.048291265
1470822581,1.93E-07,3.048347781
1472633437,1.92E-07,3.048404296
1474444294,1.92E-07,3.048460811
1476255150,1.92E-07,3.048517326
1478066006,1.91E-07,3.048573841
1479876862,1.91E-07,3.048630356
1481687718,1.91E-07,3.048686871
1483498574,1.91E-07,3.048743386
1485309430,1.90E-07,3.048799901
1487120286,1.90E-07,3.048856417
1488931142,1.90E-07,3.048912932
1490741998,1.90E-07,3.048969447
1492552854,1.89E-07,3.049025962
1494363710,1.89E-07,3.049082477
1496174567,1.89E-07,3.049138992
1497985423,1.89E-07,3.049195507
1499796279,1.88E-07,3.049252022
1501607135,1.88E-07,3.049308537
1503417991,1.88E-07,3.049365053
1505228847,1.88E-07,3.049421568
1507039703,1.87E-07,3.049478083
1508850559,1.87E-07,3.049534598
1510661415,1.87E-07,3.049591113
1512472271,1.86E-07,3.049647628
1514283127,1.86E-07,3.049704143
1516093983,1.86E-07,3.049760658
1517904840,1.86E-07,3.049817173
1519715696,1.85E-07,3.049873689
1521526552,1.85E-07,3.049930204
1523337408,1.85E-07,3.049986719
1525148264,1.85E-07,3.050043234
1526959120,1.84E-07,3.050099749
1528769976,1.84E-07,3.050156264
1530580832,1.84E-07,3.050212779
1532391688,1.84E-07,3.050269294
1534202544,1.83E-07,3.050325809
1536013400,1.83E-07,3.050382325
1537824256,1.83E-07,3.05043884
1539635112,1.83E-07,3.050495355
1541445969,1.82E-07,3.05055187
1543256825,1.82E-07,3.050608385
1545067681,1.82E-07,3.0506649
1546878537,1.81E-07,3.050721415
1548689393,1.81E-07,3.05077793
1550500249,1.81E-07,3.050834445
1552311105,1.81E-07,3.050890961
1554121961,1.80E-07,3.050947476
1555932817,1.80E-07,3.051003991
1557743673,1.80E-07,3.051060506
1559554529,1.80E-07,3.051117021
1561365385,1.79E-07,3.051173536
1563176242,1.79E-07,3.051230051
1564987098,1.79E-07,3.051286566
1566797954,1.79E-07,3.051343081
1568608810,1.78E-07,3.051399597
1570419666,1.78E-07,3.051456112
1572230522,1.78E-07,3.051512627
1574041378,1.78E-07,3.051569142
1575852234,1.77E-07,3.051625657
1577663090,1.77E-07,3.051682172
1579473946,1.77E-07,3.051738687
1581284802,1.76E-07,3.051795202
1583095658,1.76E-07,3.051851717
1584906515,1.76E-07,3.051908233
1586717371,1.76E-07,3.051964748
1588528227,1.75E-07,3.052021263
1590339083,1.75E-07,3.052077778
1592149939,1.75E-07,3.052134293
1593960795,1.75E-07,3.052190808
1595771651,1.74E-07,3.052247323
1597582507,1.74E-07,3.052303838
1599393363,1.74E-07,3.052360353
1601204219,1.74E-07,3.052416869
1603015075,1.73E-07,3.052473384
1604825931,1.73E-07,3.052529899
1606636788,1.73E-07,3.052586414
1608447644,1.73E-07,3.052642929
1610258500,1.72E-07,3.052699444
1612069356,1.72E-07,3.052755959
1613880212,1.72E-07,3.052812474
1615691068,1.72E-07,3.05286899
1617501924,1.71E-07,3.052925505
1619312780,1.71E-07,3.05298202
1621123636,1.71E-07,3.053038535
1622934492,1.70E-07,3.05309505
1624745348,1.70E-07,3.053151565
1626556204,1.70E-07,3.05320808
1628367061,1.70E-07,3.053264595
1630177917,1.69E-07,3.05332111
1631988773,1.69E-07,3.053377626
1633799629,1.69E-07,3.053434141
1635610485,1.69E-07,3.053490656
1637421341,1.68E-07,3.053547171
1639232197,1.68E-07,3.053603686
1641043053,1.68E-07,3.053660201
1642853909,1.68E-07,3.053716716
1644664765,1.67E-07,3.053773231
1646475621,1.67E-07,3.053829746
1648286477,1.67E-07,3.053886262
1650097334,1.67E-07,3.053942777
1651908190,1.66E-07,3.053999292
1653719046,1.66E-07,3.054055807
1655529902,1.66E-07,3.054112322
1657340758,1.65E-07,3.054168837
1659151614,1.65E-07,3.054225352
1660962470,1.65E-07,3.054281867
1662773326,1.65E-07,3.054338382
1664584182,1.64E-07,3.054394898
1666395038,1.64E-07,3.054451413
1668205894,1.64E-07,3.054507928
1670016750,1.64E-07,3.054564443
1671827607,1.63E-07,3.054620958
1673638463,1.63E-07,3.054677473
1675449319,1.63E-07,3.054733988
1677260175,1.63E-07,3.054790503
1679071031,1.62E-07,3.054847018
1680881887,1.62E-07,3.054903534
1682692743,1.62E-07,3.054960049
1684503599,1.62E-07,3.055016564
1686314455,1.61E-07,3.055073079
1688125311,1.61E-07,3.055129594
1689936167,1.61E-07,3.055186109
1691747023,1.60E-07,3.055242624
1693557879,1.60E-07,3.055299139
1695368736,1.60E-07,3.055355654
1697179592,1.60E-07,3.05541217
1698990448,1.59E-07,3.055468685
1700801304,1.59E-07,3.0555252
1702612160,1.59E-07,3.055581715
1704423016,1.59E-07,3.05563823
1706233872,1.58E-07,3.055694745
1708044728,1.58E-07,3.05575126
1709855584,1.58E-07,3.055807775
1711666440,1.58E-07,3.05586429
1713477296,1.57E-07,3.055920806
1715288152,1.57E-07,3.055977321
1717099009,1.57E-07,3.056033836
1718909865,1.57E-07,3.056090351
1720720721,1.56E-07,3.056146866
1722531577,1.56E-07,3.056203381
1724342433,1.56E-07,3.056259896
1726153289,1.55E-07,3.056316411
1727964145,1.55E-07,3.056372926
1729775001,1.55E-07,3.056429442
1731585857,1.55E-07,3.056485957
1733396713,1.54E-07,3.056542472
1735207569,1.54E-07,3.056598987
1737018425,1.54E-07,3.056655502
1738829282,1.54E-07,3.056712017
1740640138,1.53E-07,3.056768532
1742450994,1.53E-07,3.056825047
1744261850,1.53E-07,3.056881562
1746072706,1.53E-07,3.056938078
1747883562,1.52E-07,3.056994593
1749694418,1.52E-07,3.057051108
1751505274,1.52E-07,3.057107623
