Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1059758250.7130246,7.6208483645795785e-06,1.6915408602322626
1061569106.7952374,7.612913700272438e-06,1.6915568890320385
1063379962.8774503,7.604979035965296e-06,1.6915729178318142
1065190818.9596632,7.597044371658155e-06,1.69158894663159
1067001675.0418761,7.5891097073510135e-06,1.6916049754313658
1068812531.1240889,7.581175043043873e-06,1.6916210042311417
1070623387.2063018,7.573240378736731e-06,1.6916370330309174
1072434243.2885146,7.565305714429589e-06,1.6916530618306933
1074245099.3707275,7.557371050122448e-06,1.691669090630469
1076055955.4529405,7.549436385815306e-06,1.691685119430245
1077866811.5351532,7.541501721508166e-06,1.6917011482300206
1079677667.617366,7.533567057201024e-06,1.6917171770297965
1081488523.699579,7.5256323928938825e-06,1.6917332058295722
1083299379.781792,7.517697728586741e-06,1.6917492346293481
1085110235.8640046,7.5097630642796e-06,1.6917652634291238
1086921091.9462175,7.501828399972458e-06,1.6917812922288997
1088731948.0284305,7.493893735665317e-06,1.6917973210286756
1090542804.1106434,7.485959071358175e-06,1.6918133498284513
1092353660.192856,7.478024407051035e-06,1.6918293786282272
1094164516.275069,7.470089742743893e-06,1.691845407428003
1095975372.357282,7.4621550784367516e-06,1.6918614362277788
1097786228.4394948,7.45422041412961e-06,1.6918774650275545
1099597084.5217075,7.446285749822469e-06,1.6918934938273305
1101407940.6039205,7.438351085515327e-06,1.6919095226271061
1103218796.6861334,7.430416421208186e-06,1.691925551426882
1105029652.7683463,7.422481756901044e-06,1.6919415802266577
1106840508.8505592,7.414547092593903e-06,1.6919576090264337
1108651364.932772,7.406612428286762e-06,1.6919736378262094
1110462221.0149848,7.398677763979621e-06,1.6919896666259853
1112273077.0971978,7.390743099672479e-06,1.692005695425761
1114083933.1794105,7.382808435365338e-06,1.6920217242255369
1115894789.2616234,7.374873771058196e-06,1.6920377530253128
1117705645.3438363,7.366939106751055e-06,1.6920537818250885
1119516501.4260492,7.359004442443914e-06,1.6920698106248644
1121327357.5082622,7.351069778136772e-06,1.69208583942464
1123138213.5904748,7.343135113829631e-06,1.692101868224416
1124949069.6726878,7.33520044952249e-06,1.6921178970241917
1126759925.7549007,7.327265785215348e-06,1.6921339258239676
1128570781.8371134,7.319331120908207e-06,1.6921499546237433
1130381637.9193263,7.3113964566010654e-06,1.6921659834235192
1132192494.0015392,7.303461792293925e-06,1.692182012223295
1134003350.0837522,7.295527127986783e-06,1.6921980410230708
1135814206.165965,7.287592463679641e-06,1.6922140698228465
1137625062.2481778,7.2796577993725e-06,1.6922300986226224
1139435918.3303907,7.271723135065359e-06,1.692246127422398
1141246774.4126036,7.263788470758217e-06,1.692262156222174
1143057630.4948163,7.255853806451076e-06,1.69227818502195
1144868486.5770292,7.2479191421439345e-06,1.6922942138217256
1146679342.6592422,7.239984477836793e-06,1.6923102426215015
1148490198.741455,7.232049813529652e-06,1.6923262714212772
1150301054.823668,7.22411514922251e-06,1.6923423002210531
1152111910.9058807,7.2161804849153694e-06,1.6923583290208288
1153922766.9880936,7.208245820608228e-06,1.6923743578206047
1155733623.0703065,7.200311156301086e-06,1.6923903866203804
1157544479.1525195,7.192376491993944e-06,1.6924064154201564
1159355335.2347322,7.1844418276868035e-06,1.692422444219932
1161166191.316945,7.176507163379663e-06,1.692438473019708
1162977047.399158,7.168572499072521e-06,1.6924545018194836
1164787903.481371,7.160637834765379e-06,1.6924705306192596
1166598759.5635836,7.1527031704582385e-06,1.6924865594190353
1168409615.6457965,7.144768506151097e-06,1.6925025882188112
1170220471.7280095,7.136833841843955e-06,1.692518617018587
1172031327.8102224,7.128899177536813e-06,1.6925346458183628
1173842183.892435,7.120964513229673e-06,1.6925506746181387
1175653039.974648,7.113029848922532e-06,1.6925667034179144
1177463896.056861,7.10509518461539e-06,1.6925827322176903
1179274752.1390738,7.097160520308248e-06,1.692598761017466
1181085608.2212865,7.0892258560011075e-06,1.692614789817242
1182896464.3034995,7.081291191693966e-06,1.6926308186170176
1184707320.3857124,7.073356527386824e-06,1.6926468474167935
1186518176.4679253,7.0654218630796824e-06,1.6926628762165692
1188329032.550138,7.057487198772542e-06,1.692678905016345
1190139888.632351,7.049552534465401e-06,1.6926949338161208
1191950744.7145638,7.041617870158259e-06,1.6927109626158967
1193761600.7967768,7.033683205851117e-06,1.6927269914156724
1195572456.8789895,7.0257485415439766e-06,1.6927430202154483
1197383312.9612024,7.017813877236835e-06,1.6927590490152242
1199194169.0434153,7.009879212929693e-06,1.692775077815
1201005025.1256282,7.0019445486225515e-06,1.6927911066147758
1202815881.207841,6.9940098843154115e-06,1.6928071354145515
1204626737.2900538,6.98607522000827e-06,1.6928231642143274
1206437593.3722668,6.978140555701128e-06,1.6928391930141031
1208248449.4544797,6.9702058913939864e-06,1.692855221813879
1210059305.5366926,6.962271227086845e-06,1.6928712506136547
1211870161.6189053,6.954336562779704e-06,1.6928872794134306
1213681017.7011182,6.946401898472562e-06,1.6929033082132063
1215491873.7833312,6.9384672341654205e-06,1.6929193370129823
1217302729.8655438,6.9305325698582805e-06,1.692935365812758
1219113585.9477568,6.922597905551139e-06,1.6929513946125339
1220924442.0299697,6.914663241243997e-06,1.6929674234123095
1222735298.1121826,6.9067285769368555e-06,1.6929834522120855
1224546154.1943955,6.898793912629714e-06,1.6929994810118612
1226357010.2766082,6.890859248322573e-06,1.693015509811637
1228167866.3588212,6.882924584015431e-06,1.693031538611413
1229978722.441034,6.87498991970829e-06,1.6930475674111887
1231789578.5232468,6.86705525540115e-06,1.6930635962109646
1233600434.6054597,6.859120591094008e-06,1.6930796250107403
1235411290.6876726,6.851185926786866e-06,1.6930956538105162
1237222146.7698855,6.8432512624797245e-06,1.6931116826102919
1239033002.8520985,6.835316598172583e-06,1.6931277114100678
1240843858.9343112,6.827381933865442e-06,1.6931437402098435
1242654715.016524,6.8194472695583e-06,1.6931597690096194
1244465571.098737,6.811512605251159e-06,1.693175797809395
1246276427.1809497,6.803577940944019e-06,1.693191826609171
1248087283.2631626,6.795643276636877e-06,1.6932078554089467
1249898139.3453755,6.787708612329735e-06,1.6932238842087226
1251708995.4275885,6.7797739480225936e-06,1.6932399130084983
1253519851.5098014,6.771839283715452e-06,1.6932559418082742
1255330707.592014,6.763904619408311e-06,1.6932719706080501
1257141563.674227,6.755969955101169e-06,1.6932879994078258
1258952419.75644,6.748035290794028e-06,1.6933040282076017
1260763275.8386526,6.740100626486888e-06,1.6933200570073774
1262574131.9208655,6.732165962179746e-06,1.6933360858071533
1264384988.0030785,6.724231297872604e-06,1.693352114606929
1266195844.0852914,6.716296633565463e-06,1.693368143406705
1268006700.1675043,6.708361969258321e-06,1.6933841722064806
1269817556.249717,6.70042730495118e-06,1.6934002010062565
1271628412.33193,6.692492640644038e-06,1.6934162298060322
1273439268.4141428,6.684557976336897e-06,1.6934322586058081
1275250124.4963555,6.676623312029757e-06,1.6934482874055838
1277060980.5785685,6.668688647722615e-06,1.6934643162053598
1278871836.6607814,6.660753983415473e-06,1.6934803450051354
1280682692.7429943,6.652819319108332e-06,1.6934963738049114
1282493548.8252072,6.64488465480119e-06,1.6935124026046873
1284304404.90742,6.636949990494049e-06,1.693528431404463
1286115260.9896328,6.6290153261869074e-06,1.6935444602042389
1287926117.0718458,6.621080661879767e-06,1.6935604890040146
1289736973.1540585,6.613145997572626e-06,1.6935765178037905
1291547829.2362714,6.605211333265484e-06,1.6935925466035662
1293358685.3184843,6.597276668958342e-06,1.693608575403342
1295169541.4006972,6.589342004651201e-06,1.6936246042031178
1296980397.4829102,6.581407340344059e-06,1.6936406330028937
1298791253.565123,6.573472676036917e-06,1.6936566618026694
1300602109.6473358,6.565538011729777e-06,1.6936726906024453
1302412965.7295487,6.557603347422635e-06,1.693688719402221
1304223821.8117616,6.549668683115494e-06,1.693704748201997
1306034677.8939743,6.541734018808353e-06,1.6937207770017726
1307845533.9761872,6.5337993545012114e-06,1.6937368058015485
1309656390.0584002,6.52586469019407e-06,1.6937528346013244
1311467246.140613,6.517930025886928e-06,1.6937688634011
1313278102.222826,6.509995361579786e-06,1.693784892200876
1315088958.3050387,6.5020606972726455e-06,1.6938009210006517
1316899814.3872516,6.494126032965505e-06,1.6938169498004276
1318710670.4694645,6.486191368658362e-06,1.6938329786002033
1320521526.5516772,6.478256704351222e-06,1.6938490073999792
